episode,runtime_sec,steps,reward,task1_success,task2_success,task3_success,task4_success,task5_success,task6_success,task1_steps,task2_steps,task3_steps,task4_steps,task5_steps,task6_steps,llm_time_task1,llm_time_task2,llm_time_task3,llm_time_task4,llm_time_task5,llm_time_task6,cur_skill_calls
120,48.305475,448,107.968,1,1,1,1,1,1,88,112,112,24,72,40,0.92493,0.924876,0.92618,0.921759,0.924065,0.93064,"0,1,2,3,4,5"
121,49.795644,464,98.0,1,1,1,1,1,1,84,100,128,28,84,40,0.931039,0.926403,0.921646,0.923975,0.925517,0.925398,"0,1,2,3,4,5"
122,48.892372,452,107.999,1,1,1,1,1,1,92,92,120,28,84,36,0.921239,0.926917,0.926537,0.929676,0.917852,0.9244,"0,1,2,3,4,5"
123,47.801966,440,108.0,1,1,1,1,1,1,92,80,116,28,88,36,0.917019,0.91902,0.941406,0.92965,0.920838,0.923314,"0,1,2,3,4,5"
124,46.419213,428,97.967,1,1,1,1,1,1,92,68,116,28,84,40,0.925458,0.92393,0.934986,0.92732,0.926843,0.924214,"0,1,2,3,4,5"
125,48.479697,448,107.948,1,1,1,1,1,1,92,92,116,28,84,36,0.923419,0.922846,0.919166,0.921317,0.922858,0.922483,"0,1,2,3,4,5"
126,53.306511,496,107.942,1,1,1,1,1,1,92,112,140,28,84,40,0.921882,0.928475,0.938008,0.922662,0.931976,0.919193,"0,1,2,3,4,5"
127,48.097342,444,108.0,1,1,1,1,1,1,88,92,116,28,84,36,0.931335,0.927461,0.925134,0.918025,0.922149,0.928761,"0,1,2,3,4,5"
128,46.517412,428,107.972,1,1,1,1,1,1,84,68,128,28,80,40,0.927388,0.927657,0.913995,0.93132,0.936567,0.931048,"0,1,2,3,4,5"
129,48.984812,452,98.0,1,1,1,1,1,1,84,104,124,28,76,36,0.919188,0.920084,0.91864,0.925758,0.920117,0.92882,"0,1,2,3,4,5"
130,47.847852,440,108.0,1,1,1,1,1,1,88,100,116,24,80,32,0.931232,0.921895,0.936962,0.943147,0.93972,0.934559,"0,1,2,3,4,5"
131,47.015197,432,107.947,1,1,1,1,1,1,92,80,112,28,84,36,0.93777,0.922628,0.935146,0.923581,0.924398,0.924573,"0,1,2,3,4,5"
