episode,runtime_sec,steps,reward,task1_success,task2_success,task3_success,task4_success,task5_success,task6_success,task1_steps,task2_steps,task3_steps,task4_steps,task5_steps,task6_steps
276,46.020062,460,107.905,1,1,1,1,1,1,108,88,120,28,80,36
277,43.419431,436,107.968,1,1,1,1,1,1,92,68,116,28,92,40
278,43.217184,432,107.953,1,1,1,1,1,1,104,72,112,28,80,36
279,43.525014,436,87.985,1,1,1,1,1,1,88,84,120,24,84,36
280,42.916155,432,77.961,1,1,1,1,1,1,96,96,116,28,88,8
281,44.979884,452,107.967,1,1,1,1,1,1,88,84,124,36,84,36
282,42.726845,428,108.000,1,1,1,1,1,1,88,84,108,36,76,36
283,42.008714,420,107.988,1,1,1,1,1,1,80,80,112,28,80,40
284,45.419050,456,97.966,1,1,1,1,1,1,88,92,120,28,88,40
285,50.126253,504,107.829,1,1,1,1,1,1,116,120,120,28,84,36
286,31.727268,320,62.968,1,1,1,1,0,0,92,72,116,24,16,0
287,46.012464,460,97.927,1,1,1,1,1,1,92,92,120,28,92,36
288,46.618482,468,107.965,1,1,1,1,1,1,108,92,116,24,88,40
289,49.124649,492,107.918,1,1,1,1,1,1,96,96,144,32,84,40
290,43.114472,432,98.000,1,1,1,1,1,1,88,88,108,28,84,36
291,41.517351,416,88.000,1,1,1,1,1,1,84,72,104,32,84,40
292,43.943515,440,108.000,1,1,1,1,1,1,84,84,124,28,84,36
293,45.198460,452,107.935,1,1,1,1,1,1,100,84,120,24,88,36
294,0.119477,4,-5.000,0,0,0,0,0,0,4,0,0,0,0,0
295,44.627077,448,97.942,1,1,1,1,1,1,96,72,124,32,84,40
296,41.017906,412,107.997,1,1,1,1,1,1,84,80,112,32,68,36
297,43.822239,440,107.986,1,1,1,1,1,1,92,72,124,28,84,40
298,43.912596,440,108.000,1,1,1,1,1,1,84,68,136,28,84,40
299,43.619891,436,97.998,1,1,1,1,1,1,88,72,128,28,84,36
300,42.824585,428,107.998,1,1,1,1,1,1,84,84,124,28,72,36
301,0.074817,4,-5.000,0,0,0,0,0,0,4,0,0,0,0,0
302,43.166190,436,107.998,1,1,1,1,1,1,84,72,128,28,84,40
303,46.314652,464,108.000,1,1,1,1,1,1,88,100,120,28,84,44
304,42.424413,424,106.968,1,1,1,1,1,1,88,64,140,28,68,36
305,46.420734,464,107.971,1,1,1,1,1,1,96,88,120,28,88,44
306,43.516574,436,97.912,1,1,1,1,1,1,100,76,112,28,84,36
307,45.122170,452,97.992,1,1,1,1,1,1,84,108,120,28,76,36
308,44.312704,444,107.969,1,1,1,1,1,1,88,72,116,28,104,36
309,49.120908,492,97.973,1,1,1,1,1,1,124,84,120,28,100,36
310,43.423065,436,107.988,1,1,1,1,1,1,84,72,124,32,76,48
311,45.111999,452,107.964,1,1,1,1,1,1,92,100,112,32,80,36
312,42.423737,424,107.981,1,1,1,1,1,1,96,80,112,32,68,36
313,47.223356,472,107.975,1,1,1,1,1,1,96,108,120,28,84,36
314,43.623326,436,107.965,1,1,1,1,1,1,84,84,116,32,84,36
315,46.315106,464,107.978,1,1,1,1,1,1,92,84,140,28,84,36
316,45.129208,452,107.976,1,1,1,1,1,1,96,72,132,28,88,36
317,42.815178,428,108.000,1,1,1,1,1,1,84,76,116,28,88,36
318,44.916716,452,107.826,1,1,1,1,1,1,112,72,120,28,80,40
319,42.613378,428,98.000,1,1,1,1,1,1,84,84,112,24,88,36
320,44.427845,444,107.967,1,1,1,1,1,1,84,84,116,40,84,36
321,42.954078,432,107.972,1,1,1,1,1,1,100,68,120,24,84,36
322,13.421402,136,6.989,1,0,0,0,0,0,92,44,0,0,0,0
323,44.523854,448,98.000,1,1,1,1,1,1,92,84,140,28,68,36
324,41.719675,420,98.000,1,1,1,1,1,1,92,68,120,28,76,36
325,42.821672,428,97.975,1,1,1,1,1,1,92,84,116,28,72,36
326,43.118815,432,107.931,1,1,1,1,1,1,96,72,112,28,80,44
327,42.921792,432,108.000,1,1,1,1,1,1,88,72,124,28,84,36
