episode,runtime_sec,steps,reward,failure_reason,task1_success,task2_success,task3_success,task4_success,task5_success,task6_success,task1_steps,task2_steps,task3_steps,task4_steps,task5_steps,task6_steps,llm_time_task1,llm_time_task2,llm_time_task3,llm_time_task4,llm_time_task5,llm_time_task6,cur_skill_calls,third_reward10_count,third_reward10_three,collision_flag
47,44.433061,444,87.998,,1,1,1,1,1,1,108,72,112,36,72,44,1.091003,1.061722,1.085560,1.077921,1.063963,0.941024,"0,1,2,3,4,5",1,0,0
48,0.547025,8,-5.020,collision,0,0,0,0,0,0,8,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0,1
49,45.687601,460,98.000,,1,1,1,1,1,1,116,76,100,40,80,48,0.949471,0.983240,0.921521,0.979254,1.088490,0.958779,"0,1,2,3,4,5",2,0,0
50,45.009251,452,87.918,,1,1,1,1,1,1,104,88,104,32,80,44,1.090343,1.011112,1.040412,0.938909,0.964434,1.085537,"0,1,2,3,4,5",1,0,0
51,11.010874,112,6.963,collision,1,0,0,0,0,0,100,12,0,0,0,0,1.014624,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
52,48.419259,484,98.000,,1,1,1,1,1,1,100,124,108,32,80,40,1.045738,0.921290,1.016206,1.001596,1.064626,0.939322,"0,1,2,3,4,5",2,0,0
53,49.921757,500,97.977,,1,1,1,1,1,1,108,76,100,64,108,44,1.084064,0.924619,0.944457,1.018197,1.032609,0.953365,"0,1,2,3,4,5",2,0,0
54,10.421036,104,7.000,collision,1,0,0,0,0,0,100,4,0,0,0,0,0.932591,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
55,10.727400,108,7.970,collision,1,0,0,0,0,0,100,8,0,0,0,0,0.955316,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
56,42.627089,428,97.971,,1,1,1,1,1,1,100,72,100,32,80,44,1.079395,0.947808,1.039239,0.953984,0.981583,1.031983,"0,1,2,3,4,5",2,0,0
57,47.722433,480,98.000,,1,1,1,1,1,1,104,72,128,48,80,48,0.965009,0.967982,1.046421,0.923918,0.992593,1.090854,"0,1,2,3,4,5",2,0,0
58,11.714195,120,8.962,collision,1,0,0,0,0,0,100,20,0,0,0,0,1.090383,0.924201,0.000000,0.000000,0.000000,0.000000,"0,1",0,0,1
59,10.633941,108,8.000,collision,1,0,0,0,0,0,100,8,0,0,0,0,0.949380,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
60,10.213266,104,6.942,collision,1,0,0,0,0,0,100,4,0,0,0,0,1.079105,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
61,10.126594,104,7.000,collision,1,0,0,0,0,0,96,8,0,0,0,0,1.069384,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
62,44.805782,448,87.957,,1,1,1,1,1,1,96,72,116,44,80,40,0.939375,1.061231,1.037733,1.021202,1.088881,1.028803,"0,1,2,3,4,5",1,0,0
63,43.622026,436,97.976,,1,1,1,1,1,1,100,72,108,32,84,40,0.912366,1.058418,0.964943,1.030503,1.080147,0.935174,"0,1,2,3,4,5",2,0,0
64,12.831886,128,6.991,collision,1,0,0,0,0,0,124,4,0,0,0,0,0.931758,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
65,10.400779,104,7.000,collision,1,0,0,0,0,0,100,4,0,0,0,0,1.010635,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
66,11.137161,112,7.947,collision,1,0,0,0,0,0,100,12,0,0,0,0,1.019470,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
67,12.522929,128,6.970,collision,1,0,0,0,0,0,124,4,0,0,0,0,1.074107,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
68,16.612616,168,6.981,collision,1,0,0,0,0,0,104,64,0,0,0,0,0.927581,0.987326,0.000000,0.000000,0.000000,0.000000,"0,1",0,0,1
69,11.018785,112,6.946,collision,1,0,0,0,0,0,104,8,0,0,0,0,0.960801,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
70,10.022695,100,7.000,collision,1,0,0,0,0,0,96,4,0,0,0,0,1.049980,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
71,13.318965,136,7.000,collision,1,0,0,0,0,0,128,8,0,0,0,0,0.957924,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
72,44.419073,444,97.964,,1,1,1,1,1,1,108,72,116,36,76,36,1.010352,0.988024,0.912709,0.924387,1.070074,1.073868,"0,1,2,3,4,5",2,0,0
73,10.720758,108,6.969,collision,1,0,0,0,0,0,104,4,0,0,0,0,1.009260,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
74,47.029442,472,98.000,,1,1,1,1,1,1,104,108,104,32,80,44,1.015916,0.937666,0.933926,0.966517,1.072929,1.054440,"0,1,2,3,4,5",2,0,0
75,50.615678,508,97.960,,1,1,1,1,1,1,100,104,108,64,88,44,1.066046,1.072980,0.948827,0.956036,0.929519,1.051530,"0,1,2,3,4,5",2,0,0
76,13.215702,132,6.971,collision,1,0,0,0,0,0,128,4,0,0,0,0,1.070253,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
77,11.743975,120,6.934,collision,1,0,0,0,0,0,116,4,0,0,0,0,1.022135,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
78,10.403677,104,6.959,collision,0,0,0,0,0,0,104,0,0,0,0,0,1.078508,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
79,9.714559,100,7.000,collision,1,0,0,0,0,0,92,8,0,0,0,0,1.066774,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
80,50.833209,508,108.000,,1,1,1,1,1,1,96,108,116,68,80,40,1.057042,1.069793,0.915458,1.043713,0.970857,1.078685,"0,1,2,3,4,5",3,1,0
81,0.800851,8,-5.035,collision,0,0,0,0,0,0,8,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0,1
82,10.140450,104,7.000,collision,1,0,0,0,0,0,96,8,0,0,0,0,1.066644,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
83,10.712724,108,6.958,collision,1,0,0,0,0,0,100,8,0,0,0,0,0.959035,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
84,44.312259,444,97.941,,1,1,1,1,1,1,104,72,112,32,80,44,0.930434,1.068145,1.065670,0.951063,1.058099,0.993888,"0,1,2,3,4,5",2,0,0
85,45.519046,456,97.948,,1,1,1,1,1,1,104,68,104,52,84,44,0.965956,1.054293,0.951991,0.915265,0.945772,0.969305,"0,1,2,3,4,5",2,0,0
86,10.118396,104,7.000,collision,1,0,0,0,0,0,96,8,0,0,0,0,1.066764,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
87,10.023373,100,6.965,collision,1,0,0,0,0,0,96,4,0,0,0,0,0.961259,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
88,47.213737,472,87.990,,1,1,1,1,1,1,104,100,112,32,84,40,0.982025,1.087766,1.007593,1.080205,0.931729,1.085808,"0,1,2,3,4,5",1,0,0
89,10.032068,100,6.978,collision,1,0,0,0,0,0,96,4,0,0,0,0,0.943133,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
90,42.607397,428,98.000,,1,1,1,1,1,1,92,72,104,32,84,44,0.958789,0.930489,0.988683,1.042239,0.967512,1.020177,"0,1,2,3,4,5",2,0,0
91,47.025174,472,97.936,,1,1,1,1,1,1,104,96,112,32,80,48,1.002475,0.980395,1.014854,0.956870,1.038696,0.911261,"0,1,2,3,4,5",2,0,0
92,12.214826,124,7.957,collision,1,0,0,0,0,0,112,12,0,0,0,0,1.031816,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
93,12.440012,124,6.982,collision,1,0,0,0,0,0,120,4,0,0,0,0,0.923556,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
94,49.623468,496,98.000,,1,1,1,1,1,1,100,100,140,32,80,44,0.970463,0.967535,1.063759,1.040682,0.965071,0.966733,"0,1,2,3,4,5",2,0,0
95,46.917530,472,107.965,,1,1,1,1,1,1,100,72,124,48,80,48,0.985082,0.982814,0.964242,0.933938,0.986733,1.080396,"0,1,2,3,4,5",3,1,0
96,10.407918,104,6.992,collision,1,0,0,0,0,0,100,4,0,0,0,0,1.032656,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
97,48.312128,484,98.000,,1,1,1,1,1,1,100,108,128,32,80,36,1.021857,0.965229,1.009292,0.911047,0.961868,0.988425,"0,1,2,3,4,5",2,0,0
98,42.628859,428,87.925,,1,1,1,1,1,1,104,68,100,32,80,44,1.015460,1.028936,0.994845,0.990631,0.949474,0.996225,"0,1,2,3,4,5",1,0,0
99,11.115105,112,8.000,collision,1,0,0,0,0,0,104,8,0,0,0,0,1.073358,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
100,48.309327,484,97.955,,1,1,1,1,1,1,96,132,104,40,80,32,0.941523,0.926258,1.003827,1.025026,0.971363,1.058458,"0,1,2,3,4,5",2,0,0
101,47.128449,472,98.000,,1,1,1,1,1,1,100,104,108,32,80,48,1.046295,1.032191,0.951457,0.946837,0.915363,0.955084,"0,1,2,3,4,5",2,0,0
102,10.416357,104,6.974,collision,1,0,0,0,0,0,100,4,0,0,0,0,0.996550,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
103,9.717864,100,7.000,collision,1,0,0,0,0,0,92,8,0,0,0,0,0.924120,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
104,12.321600,124,6.982,collision,1,0,0,0,0,0,120,4,0,0,0,0,1.024165,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
105,11.027029,112,6.986,collision,1,0,0,0,0,0,108,4,0,0,0,0,1.036431,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
106,44.617735,448,97.975,,1,1,1,1,1,1,104,88,104,32,72,48,0.954786,1.029169,0.912134,1.046273,1.049709,0.930199,"0,1,2,3,4,5",2,0,0
107,45.425365,456,98.000,,1,1,1,1,1,1,100,68,120,44,80,44,0.987565,0.942655,1.083571,1.004328,0.919994,0.955866,"0,1,2,3,4,5",2,0,0
108,59.226227,592,87.998,,1,1,1,1,1,1,100,116,196,48,88,44,1.063815,0.993232,1.055351,1.031283,1.088966,1.018271,"0,1,2,3,4,5",1,0,0
109,45.208719,452,97.963,,1,1,1,1,1,1,104,76,124,36,76,36,1.082150,1.071604,1.021136,1.040591,1.001928,1.060625,"0,1,2,3,4,5",2,0,0
110,14.317974,144,7.000,collision,1,0,0,0,0,0,136,8,0,0,0,0,1.009674,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
111,17.822851,180,15.966,collision,1,1,0,0,0,0,108,68,4,0,0,0,1.025870,1.048942,0.000000,0.000000,0.000000,0.000000,"0,1",0,0,1
112,10.713933,108,7.000,collision,0,0,0,0,0,0,108,0,0,0,0,0,1.023903,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
113,10.522939,108,8.000,collision,1,0,0,0,0,0,96,12,0,0,0,0,0.960436,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
114,44.718878,448,87.973,,1,1,1,1,1,1,112,72,100,40,80,44,0.935912,0.952622,1.035856,1.038242,0.921879,0.984413,"0,1,2,3,4,5",1,0,0
115,46.521065,468,98.000,,1,1,1,1,1,1,92,96,100,36,96,48,1.008714,0.985891,0.947364,0.986666,1.074027,1.016209,"0,1,2,3,4,5",2,0,0
116,47.521687,476,97.967,,1,1,1,1,1,1,104,108,108,32,80,44,0.912030,0.974370,1.046737,1.064753,1.082743,0.986456,"0,1,2,3,4,5",2,0,0
117,9.519766,96,7.000,collision,1,0,0,0,0,0,92,4,0,0,0,0,1.045639,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
118,10.824845,108,6.910,collision,1,0,0,0,0,0,104,4,0,0,0,0,1.019569,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
119,49.215203,492,107.942,,1,1,1,1,1,1,112,108,120,32,80,40,0.950491,0.989535,0.916228,0.971545,1.033330,0.983866,"0,1,2,3,4,5",3,1,0
120,46.435362,464,97.996,,1,1,1,1,1,1,100,96,124,32,76,36,0.940721,0.995189,0.934000,1.022195,0.915849,0.982016,"0,1,2,3,4,5",2,0,0
121,10.008324,100,7.973,collision,1,0,0,0,0,0,92,8,0,0,0,0,0.994161,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,1
122,42.916510,432,98.000,,1,1,1,1,1,1,92,68,108,32,88,44,0.979252,0.949131,0.969873,1.048147,0.979262,1.046458,"0,1,2,3,4,5",2,0,0
123,45.824910,460,97.986,,1,1,1,1,1,1,108,72,128,32,72,48,1.060279,0.956435,0.925765,0.914131,1.007553,1.090820,"0,1,2,3,4,5",2,0,0
124,45.350417,456,97.948,,1,1,1,1,1,1,104,72,108,40,80,52,0.974004,1.028102,1.051734,1.028402,1.046876,1.082098,"0,1,2,3,4,5",2,0,0
125,46.301876,464,87.929,,1,1,1,1,1,1,108,96,104,32,80,44,0.946317,0.914627,0.938434,0.933732,1.031575,1.012613,"0,1,2,3,4,5",1,0,0
